Id,Date,Steps at 12:00:00 AM,Steps at 1:00:00 AM,Steps at 2:00:00 AM,Steps at 3:00:00 AM,Steps at 4:00:00 AM,Steps at 5:00:00 AM,Steps at 6:00:00 AM,Steps at 7:00:00 AM,Steps at 8:00:00 AM,Steps at 9:00:00 AM,Steps at 10:00:00 AM,Steps at 11:00:00 AM,Steps at 12:00:00 PM,Steps at 1:00:00 PM,Steps at 2:00:00 PM,Steps at 3:00:00 PM,Steps at 4:00:00 PM,Steps at 5:00:00 PM,Steps at 6:00:00 PM,Steps at 7:00:00 PM,Steps at 8:00:00 PM,Steps at 9:00:00 PM,Steps at 10:00:00 PM,Steps at 11:00:00 PM,Cal at 12:00:00 AM,Cal at 1:00:00 AM,Cal at 2:00:00 AM,Cal at 3:00:00 AM,Cal at 4:00:00 AM,Cal at5:00:00 AM,Cal at 6:00:00 AM,Cal at 7:00:00 AM,Cal at 8:00:00 AM,Cal at 9:00:00 AM,Cal at 10:00:00 AM,Cal at 11:00:00 AM,Cal at 12:00:00 PM,Cal at 1:00:00 PM,Cal at 2:00:00 PM,Cal at 3:00:00 PM,Cal at 4:00:00 PM,Cal at 5:00:00 PM,Cal at 6:00:00 PM,Cal at 7:00:00 PM,Cal at 8:00:00 PM,Cal at 9:00:00 PM,Cal at 10:00:00 PM,Cal at 11:00:00 PM,Total Intensity at 12:00:00 AM,Total Intensity at 1:00:00 AM,Total Intensity at 2:00:00 AM,Total Intensity at 3:00:00 AM,Total Intensity at 4:00:00 AM,Total Intensity at 5:00:00 AM,Total Intensity at 6:00:00 AM,Total Intensity at 7:00:00 AM,Total Intensity at 8:00:00 AM,Total Intensity at 9:00:00 AM,Total Intensity at 10:00:00 AM,Total Intensity at 11:00:00 AM,Total Intensity at 12:00:00 PM,Total Intensity at 1:00:00 PM,Total Intensity at 2:00:00 PM,Total Intensity at 3:00:00 PM,Total Intensity at 4:00:00 PM,Total Intensity at 5:00:00 PM,Total Intensity at 6:00:00 PM,Total Intensity at 7:00:00 PM,Total Intensity at 8:00:00 PM,Total Intensity at 9:00:00 PM,Total Intensity at 10:00:00 PM,Total Intensity at 11:00:00 PM,Average Intensity at 12:00:00AM,Average Intensity at 1:00:00AM,Average Intensity at 2:00:00AM,Average Intensity at 3:00:00AM,Average Intensity at 4:00:00AM,Average Intensity at 5:00:00AM,Average Intensity at 6:00:00AM,Average Intensity at 7:00:00AM,Average Intensity at 8:00:00AM,Average Intensity at 9:00:00AM,Average Intensity at 10:00:00AM,Average Intensity at 11:00:00AM,Average Intensity at 12:00:00PM,Average Intensity at 1:00:00PM,Average Intensity at 2:00:00PM,Average Intensity at 3:00:00PM,Average Intensity at 4:00:00PM,Average Intensity at 5:00:00PM,Average Intensity at 6:00:00PM,Average Intensity at 7:00:00PM,Average Intensity at 8:00:00PM,Average Intensity at 9:00:00PM,Average Intensity at 10:00:00PM,Average Intensity at 11:00:00PM
friend 3,4/4/22,101,28,0,0,0,8,0,254,390,432,285,480,208,958,787,524,443,304,7,9,807,3872,2161,0,51,45,42,42,42,43,42,59,74,77,62,68,56,99,89,83,68,56,44,44,79,196,133,43,6,2,0,0,0,1,0,11,24,26,14,15,9,35,31,30,15,7,1,1,26,115,67,0,0.1,0.033333,0,0,0,0.016667,0,0.183333,0.4,0.433333,0.233333,0.25,0.15,0.583333,0.516667,0.5,0.25,0.116667,0.016667,0.016667,0.433333,1.916667,1.116667,0
friend 3,4/5/22,43,0,8,0,0,0,9,31,34,16,65,51,40,180,419,612,498,3916,2511,607,4,406,175,410,48,42,43,43,42,42,43,46,45,45,50,49,47,53,68,69,74,198,151,75,43,63,53,61,4,0,1,0,0,0,1,3,2,2,6,5,4,7,16,26,22,116,76,19,1,12,7,8,0.066667,0,0.016667,0,0,0,0.016667,0.05,0.033333,0.033333,0.1,0.083333,0.066667,0.116667,0.266667,0.433333,0.366667,1.933333,1.266667,0.316667,0.016667,0.2,0.116667,0.133333
friend 3,4/6/22,13,0,0,0,0,17,0,0,17,46,97,3172,2896,1953,1141,38,121,2639,284,337,0,5,552,131,45,42,42,42,42,44,42,42,45,47,51,177,156,130,90,50,55,154,59,61,42,43,69,54,2,0,0,0,0,2,0,0,2,3,6,95,78,64,35,6,9,68,11,9,0,1,13,8,0.033333,0,0,0,0,0.033333,0,0,0.033333,0.05,0.1,1.583333,1.3,1.066667,0.583333,0.1,0.15,1.133333,0.183333,0.15,0,0.016667,0.216667,0.133333
friend 3,4/7/22,9,0,0,0,0,9,0,0,30,36,0,144,857,2644,2287,58,522,777,1761,1135,1163,6,217,9,43,43,42,42,42,43,42,42,46,46,43,55,90,157,143,46,68,85,124,104,94,44,55,44,1,0,0,0,0,1,0,0,3,3,0,9,30,95,77,3,14,24,62,48,36,1,8,1,0.016667,0,0,0,0,0.016667,0,0,0.05,0.05,0,0.15,0.5,1.583333,1.283333,0.05,0.233333,0.4,1.033333,0.8,0.6,0.016667,0.133333,0.016667
friend 3,4/8/22,357,0,0,0,0,7,0,0,16,0,767,951,0,566,468,625,243,106,475,3110,3485,469,0,12,60,42,42,42,42,44,42,42,45,43,84,88,42,70,65,74,59,50,72,169,179,70,43,44,10,0,0,0,0,1,0,0,2,0,23,25,0,14,10,17,12,6,21,94,109,21,0,1,0.166667,0,0,0,0,0.016667,0,0,0.033333,0,0.383333,0.416667,0,0.233333,0.166667,0.283333,0.2,0.1,0.35,1.566667,1.816667,0.35,0,0.016667
friend 4,4/4/22,0,0,0,0,0,0,195,654,200,193,495,228,232,315,169,291,3253,1914,871,558,1387,25,11,18,78,78,78,78,78,78,103,149,114,107,121,116,112,114,104,111,374,346,266,170,224,97,92,85,0,0,0,0,0,0,7,11,9,9,10,9,7,10,9,10,68,61,42,21,45,3,2,3,0,0,0,0,0,0,0.116667,0.183333,0.15,0.15,0.166667,0.15,0.116667,0.166667,0.15,0.166667,1.133333,1.016667,0.7,0.35,0.75,0.05,0.033333,0.05
friend 4,4/5/22,0,17,0,0,13,1079,2114,257,189,122,554,162,413,344,0,334,870,1656,176,1713,440,80,20,0,78,83,80,79,82,220,300,121,103,99,135,106,121,114,83,112,168,255,116,222,148,94,87,79,0,2,0,0,2,49,68,12,7,7,17,8,9,8,0,9,24,55,11,51,23,5,2,0,0,0.033333,0,0,0.033333,0.816667,1.133333,0.2,0.116667,0.116667,0.283333,0.133333,0.15,0.133333,0,0.15,0.4,0.916667,0.183333,0.85,0.383333,0.083333,0.033333,0
friend 4,4/6/22,12,12,41,12,0,329,939,225,156,145,450,496,516,28,347,284,856,1183,4037,447,357,304,12,14,80,80,85,80,79,150,168,106,97,99,117,128,138,90,112,112,178,222,398,143,123,114,86,88,1,1,3,1,0,25,21,9,5,6,10,10,15,3,9,9,23,52,121,19,13,10,2,2,0.016667,0.016667,0.05,0.016667,0,0.416667,0.35,0.15,0.083333,0.1,0.166667,0.166667,0.25,0.05,0.15,0.15,0.383333,0.866667,2.016667,0.316667,0.216667,0.166667,0.033333,0.033333
friend 4,4/7/22,0,0,11,36,0,582,2160,488,381,44,408,344,557,130,241,416,1259,1388,387,534,237,0,0,0,79,78,81,95,79,156,275,125,118,88,113,111,128,94,106,119,229,225,121,135,110,78,78,78,0,0,1,4,0,28,60,13,12,3,9,6,11,3,8,11,52,49,14,18,11,0,0,0,0,0,0.016667,0.066667,0,0.466667,1,0.216667,0.2,0.05,0.15,0.1,0.183333,0.05,0.133333,0.183333,0.866667,0.816667,0.233333,0.3,0.183333,0,0,0
friend 4,4/8/22,75,124,0,0,26,0,7,55,21,154,425,270,373,0,0,0,1774,509,519,77,280,2145,2768,60,58,59,47,47,49,47,49,54,50,63,84,74,67,47,47,47,140,87,97,64,75,151,182,6,5,7,0,0,1,0,1,5,2,8,23,13,9,0,0,0,47,22,32,8,14,66,95,0.1,0.083333,0.116667,0,0,0.016667,0,0.016667,0.083333,0.033333,0.133333,0.383333,0.216667,0.15,0,0,0,0.783333,0.366667,0.533333,0.133333,0.233333,1.1,1.583333,0.3
friend 5,4/4/22,165,67,0,0,0,23,0,0,427,363,78,136,415,464,40,786,707,597,551,643,38,112,384,226,84,79,69,69,69,73,69,69,130,111,80,86,120,120,79,141,137,120,134,144,76,93,112,98,6,4,0,0,0,2,0,0,29,16,4,6,22,22,3,28,26,18,28,33,3,11,17,12,0.1,0.066667,0,0,0,0.033333,0,0,0.483333,0.266667,0.066667,0.1,0.366667,0.366667,0.05,0.466667,0.433333,0.3,0.466667,0.55,0.05,0.183333,0.283333,0.2
friend 5,4/5/22,0,0,4,10,0,0,0,0,0,0,119,515,136,111,251,0,171,327,696,368,153,230,757,97,69,69,71,71,70,69,69,69,70,69,92,137,95,87,97,71,95,107,151,110,91,114,152,88,0,0,1,1,0,0,0,0,0,0,11,31,11,7,9,0,10,15,37,17,8,22,36,9,0,0,0.016667,0.016667,0,0,0,0,0,0,0.183333,0.516667,0.183333,0.116667,0.15,0,0.166667,0.25,0.616667,0.283333,0.133333,0.366667,0.6,0.15
friend 5,4/6/22,102,111,10,9,0,0,11,0,33,12,0,232,300,179,59,138,82,27,82,64,352,190,71,0,83,85,71,71,69,69,72,70,75,71,70,96,103,104,82,90,84,76,82,78,108,94,82,69,6,7,1,1,0,0,1,0,2,1,0,11,14,17,5,8,6,2,5,3,15,11,5,0,0.1,0.116667,0.016667,0.016667,0,0,0.016667,0,0.033333,0.016667,0,0.183333,0.233333,0.283333,0.083333,0.133333,0.1,0.033333,0.083333,0.05,0.25,0.183333,0.083333,0
friend 5,4/7/22,0,80,0,0,95,0,0,42,18,0,0,0,0,237,145,148,468,661,614,207,369,341,612,621,69,84,69,69,77,69,69,75,73,69,69,69,69,98,95,91,117,145,138,99,118,108,136,120,0,7,0,0,3,0,0,2,2,0,0,0,0,13,12,9,19,34,30,12,22,15,28,18,0,0.116667,0,0,0.05,0,0,0.033333,0.033333,0,0,0,0,0.216667,0.2,0.15,0.316667,0.566667,0.5,0.2,0.366667,0.25,0.466667,0.3
friend 5,4/8/22,0,78,0,0,0,0,0,6,250,93,5,25,227,514,188,528,468,37,3955,245,185,337,215,139,69,78,70,69,69,69,69,71,99,79,71,78,106,132,95,140,131,76,342,110,98,114,96,89,0,4,0,0,0,0,0,1,12,4,1,4,17,28,11,33,29,3,109,19,12,20,11,9,0,0.066667,0,0,0,0,0,0.016667,0.2,0.066667,0.016667,0.066667,0.283333,0.466667,0.183333,0.55,0.483333,0.05,1.816667,0.316667,0.2,0.333333,0.183333,0.15
friend 6,4/4/22,0,0,0,0,0,202,757,419,715,264,688,636,218,1071,56,875,330,7,0,0,0,0,0,86,86,86,86,86,86,136,160,145,163,129,154,161,133,173,99,153,153,93,86,86,86,86,86,0,0,0,0,0,0,22,30,24,30,19,27,31,21,33,6,26,30,3,0,0,0,0,0,0,0,0,0,0,0,0.366667,0.5,0.4,0.5,0.316667,0.45,0.516667,0.35,0.55,0.1,0.433333,0.5,0.05,0,0,0,0,0,0
friend 6,4/5/22,0,0,0,4,0,0,279,282,427,287,772,547,626,673,438,698,669,568,1008,243,383,279,15,0,47,47,47,48,47,47,70,76,77,72,94,84,92,100,82,99,100,87,111,76,78,62,49,47,0,0,0,1,0,0,15,20,17,16,26,21,28,35,22,33,35,24,37,21,21,9,2,0,0,0,0,0.016667,0,0,0.25,0.333333,0.283333,0.266667,0.433333,0.35,0.466667,0.583333,0.366667,0.55,0.583333,0.4,0.616667,0.35,0.35,0.15,0.033333,0
friend 6,4/6/22,0,0,0,0,0,36,212,116,130,118,72,144,7,0,0,0,0,0,0,0,0,0,0,0,47,47,47,47,47,50,69,63,61,61,54,62,49,47,47,47,47,47,47,47,47,47,47,47,0,0,0,0,0,2,15,12,9,9,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333,0.25,0.2,0.15,0.15,0.05,0.15,0.016667,0,0,0,0,0,0,0,0,0,0,0
friend 6,4/7/22,5,61,0,5,0,0,166,180,51,73,102,131,106,807,650,469,604,895,419,799,313,229,16,16,48,49,47,48,47,47,57,67,55,54,57,59,58,102,91,85,99,108,81,94,76,64,51,49,1,1,0,1,0,0,6,13,3,2,4,6,6,34,25,25,36,38,22,25,20,12,4,2,0.016667,0.016667,0,0.016667,0,0,0.1,0.216667,0.05,0.033333,0.066667,0.1,0.1,0.566667,0.416667,0.416667,0.6,0.633333,0.366667,0.416667,0.333333,0.2,0.066667,0.033333
friend 6,4/8/22,0,0,0,0,0,651,669,580,709,857,578,471,1196,1490,379,936,1473,299,815,347,377,314,22,4,47,47,47,47,47,88,92,83,104,105,95,85,117,128,74,114,123,67,102,79,73,66,50,48,0,0,0,0,0,24,27,20,39,35,32,24,38,41,16,43,39,11,33,22,16,12,2,1,0,0,0,0,0,0.4,0.45,0.333333,0.65,0.583333,0.533333,0.4,0.633333,0.683333,0.266667,0.716667,0.65,0.183333,0.55,0.366667,0.266667,0.2,0.033333,0.016667
